"date","time","slot","pillar","angle","title","audience","risk","timing","reserve","evidenceTerms","searchTerms","authority","occurrence","curationStatus"
"2026-08-13","08:30","1","identity_access","foundation","What a Portuguese NIF is: a plain-English explanation","new residents","medium","evergreen","none","NIF | número de identificação fiscal","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-08-13","11:30","2","irs","action","Submitting Modelo 3: a practical step-by-step checklist","people filing personal income tax","high","evergreen","none","Modelo 3 | declaração de rendimentos","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-13","14:30","3","health_family","edge_case","Keeping foreign medical records usable: mistakes, exceptions and edge cases","individuals and families","medium","evergreen","none","registo de saúde | processo clínico | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-13","18:00","4","immigration_residency","audience","NEWS RESERVE — fallback: Residence renewal preparation for international residents","international residents","high","news_flex","breaking_news","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-13","21:00","5","driving_transport","golden_tip","What IUC is: one golden tip and what to verify","drivers and commuters","medium","evergreen","none","IUC | Imposto Único de Circulação","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-14","08:30","1","freelance_business","action","Opening freelance activity in Portugal: a practical step-by-step checklist","freelancers and solo founders","high","evergreen","none","opening freelance activity","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-14","11:30","2","banking_money","edge_case","Paying the state through Multibanco: mistakes, exceptions and edge cases","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-14","14:30","3","daily_life_consumer","audience","Official email and SMS scam checks for everyone living in Portugal","everyone living in Portugal","low","evergreen","none","official email checks","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-08-14","18:00","4","iva","golden_tip","NEWS RESERVE — fallback: Entering the normal IVA regime: one golden tip and what to verify","freelancers and small businesses","high","news_flex","breaking_news","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-14","21:00","5","employment","foundation","Public holidays and work: a plain-English explanation","employees and job seekers","medium","evergreen","none","public holidays","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-15","08:30","1","social_security","edge_case","Registering as a self-employed worker: mistakes, exceptions and edge cases","workers and freelancers","high","evergreen","none","registering employed worker","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-15","11:30","2","driving_transport","audience","ISV basics for drivers and commuters","drivers and commuters","medium","evergreen","none","basics","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-15","14:30","3","citizenship_civil","golden_tip","Birth registration in Portugal: one golden tip and what to verify","residents building a long-term life","high","evergreen","none","birth registration","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-15","18:00","4","education_children","foundation","NEWS RESERVE — fallback: MEGA schoolbook vouchers: a plain-English explanation","families and students","medium","news_flex","breaking_news","matrículas | Portal das Matrículas | educação | MEGA","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-15","21:00","5","education_children","action","Moving schools during the year: a practical step-by-step checklist","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-16","08:30","1","employment","audience","Gross salary versus take-home pay for employees and job seekers","employees and job seekers","medium","evergreen","none","contrato de trabalho | Código do Trabalho","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-16","11:30","2","identity_access","golden_tip","Recovering Portal das Finanças access: one golden tip and what to verify","new residents","medium","evergreen","none","recovering portal finanças | Portal das Finanças","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-08-16","14:30","3","irs","foundation","Receiving an IRS assessment: a plain-English explanation","people filing personal income tax","high","evergreen","none","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-16","18:00","4","health_family","action","NEWS RESERVE — fallback: Electronic prescriptions: a practical step-by-step checklist","individuals and families","medium","news_flex","breaking_news","electronic prescriptions","SNS | centro de saúde | médico de família | nascimento | família","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-16","21:00","5","immigration_residency","edge_case","Long-term resident status: mistakes, exceptions and edge cases","international residents","high","evergreen","none","resident status","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-08-17","08:30","1","education_children","golden_tip","School catchment areas: one golden tip and what to verify","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-17","11:30","2","freelance_business","foundation","Working with one main client: a plain-English explanation","freelancers and solo founders","high","evergreen","none","working client","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-17","14:30","3","banking_money","action","Credit reports at Banco de Portugal: a practical step-by-step checklist","people managing money in Portugal","medium","evergreen","none","credit reports banco | Banco de Portugal","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-17","18:00","4","irs","edge_case","IRS notices in August: check whether you have a refund or payment action","people filing personal income tax","high","official_locked","date_locked","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","https://info.portaldasfinancas.gov.pt/pt/apoio_contribuinte/calendario_fiscal/Pages/Quadro_res_Pag_2026.aspx","1","curated_90_day"
"2026-08-17","21:00","5","banking_money","audience","MB WAY basics for people managing money in Portugal","people managing money in Portugal","medium","evergreen","none","basics","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-18","08:30","1","immigration_residency","foundation","Preparing for an AIMA appointment: a plain-English explanation","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-08-18","11:30","2","social_security","action","Freelancing while employed: a practical step-by-step checklist","workers and freelancers","high","evergreen","none","freelancing while employed","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-18","14:30","3","driving_transport","edge_case","Selling a vehicle safely: mistakes, exceptions and edge cases","drivers and commuters","medium","evergreen","none","selling vehicle safely","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-18","18:00","4","banking_money","audience","NEWS RESERVE — fallback: Resident versus non-resident bank accounts for people managing money in Portugal","people managing money in Portugal","medium","news_flex","breaking_news","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-18","21:00","5","employment","golden_tip","Ending an employment contract: one golden tip and what to verify","employees and job seekers","medium","evergreen","none","contrato de trabalho | Código do Trabalho","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-19","08:30","1","iva","action","Entering the normal IVA regime: a practical step-by-step checklist","freelancers and small businesses","high","evergreen","none","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-19","11:30","2","employment","edge_case","Sick leave steps: mistakes, exceptions and edge cases","employees and job seekers","medium","evergreen","none","leave steps","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-19","14:30","3","identity_access","audience","Getting a NIF before moving for new residents","new residents","medium","evergreen","none","NIF | número de identificação fiscal","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-08-19","18:00","4","housing_property","golden_tip","August IMI instalment: check whether your bill is above €500","renters and property owners","high","official_locked","date_locked","IMI | Imposto Municipal sobre Imóveis","arrendamento | IMI | AIMI | IMT | imóvel | habitação","https://info.portaldasfinancas.gov.pt/pt/apoio_ao_contribuinte/Cidadaos/Casa_e_propriedades/Imposto_anual/Paginas/default.aspx","1","curated_90_day"
"2026-08-19","21:00","5","health_family","foundation","Keeping foreign medical records usable: a plain-English explanation","individuals and families","medium","evergreen","none","registo de saúde | processo clínico | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-20","08:30","1","housing_property","edge_case","Security deposits and records: mistakes, exceptions and edge cases","renters and property owners","high","evergreen","none","security deposits records","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
"2026-08-20","11:30","2","education_children","audience","Applying to Portuguese higher education for families and students","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-20","14:30","3","freelance_business","golden_tip","Opening freelance activity in Portugal: one golden tip and what to verify","freelancers and solo founders","high","evergreen","none","opening freelance activity","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-20","18:00","4","banking_money","foundation","NEWS RESERVE — fallback: Documents banks request: a plain-English explanation","people managing money in Portugal","medium","news_flex","breaking_news","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-20","21:00","5","daily_life_consumer","action","Moving house administration checklist: a practical step-by-step checklist","everyone living in Portugal","low","evergreen","none","moving house administration","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-08-21","08:30","1","health_family","audience","Using SNS 24 for individuals and families","individuals and families","medium","evergreen","none","using | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-21","11:30","2","immigration_residency","golden_tip","Long-term resident status: one golden tip and what to verify","international residents","high","evergreen","none","resident status","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-08-21","14:30","3","social_security","foundation","Parental-benefit basics: a plain-English explanation","workers and freelancers","high","evergreen","none","arrendamento | contrato de arrendamento","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-21","18:00","4","driving_transport","action","NEWS RESERVE — fallback: Checking vehicle documents: a practical step-by-step checklist","drivers and commuters","medium","news_flex","breaking_news","checking vehicle documents","IMT | carta de condução | IUC | veículo | Via Verde","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-21","21:00","5","education_children","edge_case","School catchment areas: mistakes, exceptions and edge cases","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-22","08:30","1","daily_life_consumer","golden_tip","Using the electronic complaints book: one golden tip and what to verify","everyone living in Portugal","low","evergreen","none","Livro de Reclamações | Direção-Geral do Consumidor","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-08-22","11:30","2","iva","foundation","Reverse charge wording: a plain-English explanation","freelancers and small businesses","high","evergreen","none","reverse charge wording","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-22","14:30","3","employment","action","Recognising unpaid-trial scams: a practical step-by-step checklist","employees and job seekers","medium","evergreen","none","recognising unpaid trial","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-22","18:00","4","identity_access","edge_case","NEWS RESERVE — fallback: Confirming email and mobile contacts on Finanças: mistakes, exceptions and edge cases","new residents","medium","news_flex","breaking_news","confirming email mobile","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-22","21:00","5","irs","audience","Foreign bank accounts in Anexo J for people filing personal income tax","people filing personal income tax","high","evergreen","none","IRS | Imposto sobre o Rendimento das Pessoas Singulares | Banco de Portugal | IBAN | SEPA","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-23","08:30","1","citizenship_civil","foundation","Marriage registration: a plain-English explanation","residents building a long-term life","high","evergreen","none","marriage registration","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-23","11:30","2","housing_property","action","Budgeting purchase transaction costs: a practical step-by-step checklist","renters and property owners","high","evergreen","none","budgeting purchase transaction","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
